CANMOREID,URL,XCOORD,YCOORD
50015,https://canmore.org.uk/site/50015/,310260,649990
50161,https://canmore.org.uk/site/50161/,315900,655500
50168,https://canmore.org.uk/site/50168/,317900,655600
50174,https://canmore.org.uk/site/50174/,316500,656400
50175,https://canmore.org.uk/site/50175/,318280,656580
50177,https://canmore.org.uk/site/50177/,315440,655310
50178,https://canmore.org.uk/site/50178/,315330,655210
50179,https://canmore.org.uk/site/50179/,317400,656200
50182,https://canmore.org.uk/site/50182/,317000,655900
50186,https://canmore.org.uk/site/50186/,315800,655430
50187,https://canmore.org.uk/site/50187/,318500,655500
50188,https://canmore.org.uk/site/50188/,318500,655500
51277,https://canmore.org.uk/site/51277/,328620,637210
51278,https://canmore.org.uk/site/51278/,321120,635370
51279,https://canmore.org.uk/site/51279/,323540,637940
51280,https://canmore.org.uk/site/51280/,322560,637700
51281,https://canmore.org.uk/site/51281/,322470,637080
51282,https://canmore.org.uk/site/51282/,323000,637450
51283,https://canmore.org.uk/site/51283/,324190,637260
51284,https://canmore.org.uk/site/51284/,322690,638630
51285,https://canmore.org.uk/site/51285/,321520,639133
51286,https://canmore.org.uk/site/51286/,323680,636060
51287,https://canmore.org.uk/site/51287/,321422,635461
51288,https://canmore.org.uk/site/51288/,323350,636570
51289,https://canmore.org.uk/site/51289/,320150,638060
51290,https://canmore.org.uk/site/51290/,320700,636400
51291,https://canmore.org.uk/site/51291/,322022,637984
51292,https://canmore.org.uk/site/51292/,321618,637563
51293,https://canmore.org.uk/site/51293/,321130,637600
51294,https://canmore.org.uk/site/51294/,321330,635360
51295,https://canmore.org.uk/site/51295/,322600,639690
51296,https://canmore.org.uk/site/51296/,323112,639393
51297,https://canmore.org.uk/site/51297/,320100,639960
51298,https://canmore.org.uk/site/51298/,321180,637070
51299,https://canmore.org.uk/site/51299/,321520,638330
50193,https://canmore.org.uk/site/50193/,311320,655440
50194,https://canmore.org.uk/site/50194/,315200,652700
50195,https://canmore.org.uk/site/50195/,315000,651000
50196,https://canmore.org.uk/site/50196/,315000,651000
50197,https://canmore.org.uk/site/50197/,315000,651000
50198,https://canmore.org.uk/site/50198/,315000,651000
50199,https://canmore.org.uk/site/50199/,315000,651000
50200,https://canmore.org.uk/site/50200/,315000,651000
50201,https://canmore.org.uk/site/50201/,318000,650000
50202,https://canmore.org.uk/site/50202/,315130,654630
50203,https://canmore.org.uk/site/50203/,318370,650080
50204,https://canmore.org.uk/site/50204/,315000,651000
50205,https://canmore.org.uk/site/50205/,316700,652900
50206,https://canmore.org.uk/site/50206/,317510,653630
50207,https://canmore.org.uk/site/50207/,319949,652255
50209,https://canmore.org.uk/site/50209/,315100,654400
50210,https://canmore.org.uk/site/50210/,317312,654657
50211,https://canmore.org.uk/site/50211/,319034,651670
50212,https://canmore.org.uk/site/50212/,318400,650100
50213,https://canmore.org.uk/site/50213/,319628,652019
50214,https://canmore.org.uk/site/50214/,315000,651000
50215,https://canmore.org.uk/site/50215/,316870,654580
50216,https://canmore.org.uk/site/50216/,315000,651000
50217,https://canmore.org.uk/site/50217/,316800,654400
50218,https://canmore.org.uk/site/50218/,315000,652000
50219,https://canmore.org.uk/site/50219/,319000,652000
50220,https://canmore.org.uk/site/50220/,315000,652000
50221,https://canmore.org.uk/site/50221/,319000,652000
50222,https://canmore.org.uk/site/50222/,315010,651900
50223,https://canmore.org.uk/site/50223/,316280,654060
50224,https://canmore.org.uk/site/50224/,318400,650100
50225,https://canmore.org.uk/site/50225/,318200,652000
50226,https://canmore.org.uk/site/50226/,319600,652030
50227,https://canmore.org.uk/site/50227/,315000,651000
50228,https://canmore.org.uk/site/50228/,317990,654640
50229,https://canmore.org.uk/site/50229/,315390,650840
50230,https://canmore.org.uk/site/50230/,315000,651000
49851,https://canmore.org.uk/site/49851/,316550,638630
49852,https://canmore.org.uk/site/49852/,318250,638450
49853,https://canmore.org.uk/site/49853/,319110,637660
49854,https://canmore.org.uk/site/49854/,318271,637654
49855,https://canmore.org.uk/site/49855/,311080,639550
49856,https://canmore.org.uk/site/49856/,310980,635320
49857,https://canmore.org.uk/site/49857/,313920,635430
49858,https://canmore.org.uk/site/49858/,313200,635000
49859,https://canmore.org.uk/site/49859/,311200,635800
49860,https://canmore.org.uk/site/49860/,311691,637236
49861,https://canmore.org.uk/site/49861/,314000,635880
49862,https://canmore.org.uk/site/49862/,311200,636000
49863,https://canmore.org.uk/site/49863/,314000,635880
49864,https://canmore.org.uk/site/49864/,311000,636000
49865,https://canmore.org.uk/site/49865/,310200,639300
49866,https://canmore.org.uk/site/49866/,311230,635110
49868,https://canmore.org.uk/site/49868/,312200,636590
49869,https://canmore.org.uk/site/49869/,312920,635530
49870,https://canmore.org.uk/site/49870/,310000,638400
51300,https://canmore.org.uk/site/51300/,320830,638470
51301,https://canmore.org.uk/site/51301/,321750,637820
51302,https://canmore.org.uk/site/51302/,324400,639200
51303,https://canmore.org.uk/site/51303/,321900,636400
51304,https://canmore.org.uk/site/51304/,321900,638400
51305,https://canmore.org.uk/site/51305/,323100,638610
51306,https://canmore.org.uk/site/51306/,323500,636000
51307,https://canmore.org.uk/site/51307/,320500,639100
51308,https://canmore.org.uk/site/51308/,322000,638000
51309,https://canmore.org.uk/site/51309/,323580,639480
51310,https://canmore.org.uk/site/51310/,324290,639060
51311,https://canmore.org.uk/site/51311/,322700,639780
51312,https://canmore.org.uk/site/51312/,323730,638030
51313,https://canmore.org.uk/site/51313/,324730,638900
51314,https://canmore.org.uk/site/51314/,323400,639600
51316,https://canmore.org.uk/site/51316/,324500,638900
51317,https://canmore.org.uk/site/51317/,324700,638800
51318,https://canmore.org.uk/site/51318/,322050,636960
51319,https://canmore.org.uk/site/51319/,322060,638000
51320,https://canmore.org.uk/site/51320/,323700,638000
51452,https://canmore.org.uk/site/51452/,325020,640380
51453,https://canmore.org.uk/site/51453/,325200,640530
51454,https://canmore.org.uk/site/51454/,325287,641236
51455,https://canmore.org.uk/site/51455/,325305,640477
51456,https://canmore.org.uk/site/51456/,325180,641240
51457,https://canmore.org.uk/site/51457/,325050,640380
51458,https://canmore.org.uk/site/51458/,325280,640490
51459,https://canmore.org.uk/site/51459/,325080,640780
49871,https://canmore.org.uk/site/49871/,311503,635072
49872,https://canmore.org.uk/site/49872/,310160,637910
49873,https://canmore.org.uk/site/49873/,311218,636656
49874,https://canmore.org.uk/site/49874/,310700,636300
49875,https://canmore.org.uk/site/49875/,310500,637180
49876,https://canmore.org.uk/site/49876/,311051,636813
49877,https://canmore.org.uk/site/49877/,310000,638210
49878,https://canmore.org.uk/site/49878/,310000,638210
49879,https://canmore.org.uk/site/49879/,311330,638400
49880,https://canmore.org.uk/site/49880/,311060,637060
49881,https://canmore.org.uk/site/49881/,312670,635330
49882,https://canmore.org.uk/site/49882/,312730,635380
49883,https://canmore.org.uk/site/49883/,312800,635500
49884,https://canmore.org.uk/site/49884/,311940,636920
49885,https://canmore.org.uk/site/49885/,316798,634933
49886,https://canmore.org.uk/site/49886/,319920,633150
