CANMOREID,URL,XCOORD,YCOORD,Geological,Palaeolithic,Mesolithic,Neolithic,Bronze_Age,Iron_Age,Early_Medieval,Later_Medieval,Pre_Industrial,Post_Industrial,Modern,Term_Count
305981,https://canmore.org.uk/site/305981/,343672,713706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.71,70.29,4
305982,https://canmore.org.uk/site/305982/,346684,714597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,5
305983,https://canmore.org.uk/site/305983/,348179,715146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.52,58.48,10
305984,https://canmore.org.uk/site/305984/,349453,715953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,5
305985,https://canmore.org.uk/site/305985/,350309,715593,0.0,0.0,0.0,0.0,0.0,13.58,13.58,13.58,13.58,32.12,13.58,8
305986,https://canmore.org.uk/site/305986/,349446,714157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.69,53.31,13
305987,https://canmore.org.uk/site/305987/,348904,712681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.94,63.06,3
305988,https://canmore.org.uk/site/305988/,348745,711100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.27,63.73,6
305989,https://canmore.org.uk/site/305989/,347925,709830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.71,70.29,4
305746,https://canmore.org.uk/site/305746/,358319,708842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,7.13,34.66,51.08,37
305747,https://canmore.org.uk/site/305747/,357240,709169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.69,10.69,30.2,48.42,23
305749,https://canmore.org.uk/site/305749/,354202,708328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16,10.16,36.76,42.92,13
305750,https://canmore.org.uk/site/305750/,352673,708101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,15.25,21.14,48.37,15
305751,https://canmore.org.uk/site/305751/,351182,707911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.09,11.09,31.33,46.5,22
305752,https://canmore.org.uk/site/305752/,349680,708276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.09,11.09,31.33,46.5,22
305753,https://canmore.org.uk/site/305753/,348325,709078,0.0,0.0,0.0,0.0,0.0,13.95,13.95,16.0,16.0,17.02,23.07,88
305754,https://canmore.org.uk/site/305754/,346844,709574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.69,10.69,30.2,48.42,23
305755,https://canmore.org.uk/site/305755/,345347,709934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.51,22.51,23.94,31.04,63
305756,https://canmore.org.uk/site/305756/,344073,710736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.06,17.06,23.65,42.23,13
305757,https://canmore.org.uk/site/305757/,342770,711501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.06,17.06,23.65,42.23,13
305759,https://canmore.org.uk/site/305759/,341965,712649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.06,17.06,23.65,42.23,13
305760,https://canmore.org.uk/site/305760/,341629,713330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,5
305761,https://canmore.org.uk/site/305761/,340462,714034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,5
298406,https://canmore.org.uk/site/298406/,329560,682410,0.0,0.0,0.0,0.0,3.31,3.31,3.31,0.0,0.0,9.92,80.16,49
306883,https://canmore.org.uk/site/306883/,327054,687192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.27,34.36,37.37,29
306884,https://canmore.org.uk/site/306884/,310622,687968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,5
306885,https://canmore.org.uk/site/306885/,312182,688329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.54,60.46,8
306886,https://canmore.org.uk/site/306886/,313716,688768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.65,78.35,6
306887,https://canmore.org.uk/site/306887/,346950,718617,0.0,0.0,0.0,0.0,0.0,8.94,8.94,8.94,8.94,43.1,21.15,14
306888,https://canmore.org.uk/site/306888/,340873,712423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.31,68.69,14
306889,https://canmore.org.uk/site/306889/,339688,711399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.35,61.65,11
306890,https://canmore.org.uk/site/306890/,345881,708531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,6
306891,https://canmore.org.uk/site/306891/,346616,707145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,5
306892,https://canmore.org.uk/site/306892/,346833,705596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.66,55.34,25
306893,https://canmore.org.uk/site/306893/,347737,704343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.27,63.73,6
306894,https://canmore.org.uk/site/306894/,344382,705457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.54,60.46,8
306895,https://canmore.org.uk/site/306895/,346472,707237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.94,63.06,3
306896,https://canmore.org.uk/site/306896/,347354,708489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.71,70.29,4
306897,https://canmore.org.uk/site/306897/,337691,711146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.71,70.29,4
306898,https://canmore.org.uk/site/306898/,348577,702063,0.0,0.0,0.0,0.0,0.0,0.0,10.22,17.45,17.45,24.19,30.67,12
306899,https://canmore.org.uk/site/306899/,345261,706475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,5
306905,https://canmore.org.uk/site/306905/,336694,712386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,6
306906,https://canmore.org.uk/site/306906/,333693,696708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33,54.67,9
306907,https://canmore.org.uk/site/306907/,336865,700071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,6
306908,https://canmore.org.uk/site/306908/,334847,701579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.94,63.06,3
306909,https://canmore.org.uk/site/306909/,333860,698763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.09,55.91,7
306910,https://canmore.org.uk/site/306910/,332650,697694,0.0,0.0,0.0,23.83,0.0,0.0,0.0,0.0,0.0,26.75,49.41,31
